Time,Blade,Action,Type,Interface,Origin,Source,Source User Name,Destination,Service,Application Risk,Application Name,Application Category,Access Rule Name,Resource,User,Description,
"Sep 1, 2022 3:32:45 PM","Application Control,URL Filtering",Accept,Session,,gateway.vnit.ac.in,172.25.192.101,,142.250.192.196,https,Unknown,google.com,Search Engines / Portals,VNIT allowed sites and applications computers and business added on 290921,,,,
"Sep 1, 2022 3:32:45 PM",Application Control,Accept,Session,,gateway.vnit.ac.in,172.27.40.226,,20.198.118.190,https,Low,Microsoft Services,Computers / Internet,VNIT allowed sites and applications computers and business added on 290921,,,,
"Sep 1, 2022 3:32:45 PM",Application Control,Accept,Session,,gateway.vnit.ac.in,10.8.1.210,,142.250.192.37,https,Medium,Gmail,Email,VNIT allowed sites and applications computers and business added on 290921,,,,
"Sep 1, 2022 3:32:45 PM",Application Control,Accept,Session,,gateway.vnit.ac.in,10.87.18.47,,192.229.232.240,http,Very Low,Windows Update,Software Update,VNIT allowed sites and applications computers and business added on 290921,"http://tlu.dl.delivery.mp.microsoft.com/filestreamingservice/files/053f252d-31e4-4bac-9763-39374e7767fd?P1=1662023018&P2=404&P3=2&P4=kPCMy4f1f075yRfz7pSXeuukddkZcDx9Pzdw2eiy8gZmr0eHvx15Lnm+w+yHRodJN0Zda9b6n2xh86Gitmt+cQ==,http://tlu.dl.delivery.mp.microsoft.com/filestreamingservice/files/053f252d-31e4-4bac-9763-39374e7767fd?P1=1662023018&P2=404&P3=2&P4=kPCMy4f1f075yRfz7pSXeuukddkZcDx9Pzdw2eiy8gZmr0eHvx15Lnm+w+yHRodJN0Zda9b6n2xh86Gitmt+cQ==,http://tlu.dl.delivery.mp.microsoft.com/filestreamingservice/files/053f252d-31e4-4bac-9763-39374e7767fd?P1=1662023018&P2=404&P3=2&P4=kPCMy4f1f075yRfz7pSXeuukddkZcDx9Pzdw2eiy8gZmr0eHvx15Lnm+w+yHRodJN0Zda9b6n2xh86Gitmt+cQ==,http://tlu.dl.delivery.mp.microsoft.com/filestreamingservice/files/053f252d-31e4-4bac-9763-39374e7767fd?P1=1662023018&P2=404&P3=2&P4=kPCMy4f1f075yRfz7pSXeuukddkZcDx9Pzdw2eiy8gZmr0eHvx15Lnm+w+yHRodJN0Zda9b6n2xh86Gitmt+cQ==",,,
"Sep 1, 2022 3:32:45 PM",Application Control,Accept,Session,,gateway.vnit.ac.in,10.87.18.47,,192.229.232.240,http,Low,Windows 10 Update,Network Protocols,VNIT allowed sites and applications computers and business added on 290921,"http://tlu.dl.delivery.mp.microsoft.com/filestreamingservice/files/053f252d-31e4-4bac-9763-39374e7767fd?P1=1662023018&P2=404&P3=2&P4=kPCMy4f1f075yRfz7pSXeuukddkZcDx9Pzdw2eiy8gZmr0eHvx15Lnm+w+yHRodJN0Zda9b6n2xh86Gitmt+cQ==,http://tlu.dl.delivery.mp.microsoft.com/filestreamingservice/files/053f252d-31e4-4bac-9763-39374e7767fd?P1=1662023018&P2=404&P3=2&P4=kPCMy4f1f075yRfz7pSXeuukddkZcDx9Pzdw2eiy8gZmr0eHvx15Lnm+w+yHRodJN0Zda9b6n2xh86Gitmt+cQ==,http://tlu.dl.delivery.mp.microsoft.com/filestreamingservice/files/053f252d-31e4-4bac-9763-39374e7767fd?P1=1662023018&P2=404&P3=2&P4=kPCMy4f1f075yRfz7pSXeuukddkZcDx9Pzdw2eiy8gZmr0eHvx15Lnm+w+yHRodJN0Zda9b6n2xh86Gitmt+cQ==,http://tlu.dl.delivery.mp.microsoft.com/filestreamingservice/files/053f252d-31e4-4bac-9763-39374e7767fd?P1=1662023018&P2=404&P3=2&P4=kPCMy4f1f075yRfz7pSXeuukddkZcDx9Pzdw2eiy8gZmr0eHvx15Lnm+w+yHRodJN0Zda9b6n2xh86Gitmt+cQ==",,,
"Sep 1, 2022 3:32:45 PM",Application Control,Drop,Session,,gateway.vnit.ac.in,10.15.4.152,,201.34.174.124,UDP/40042,High,BitTorrent Protocol,P2P File Sharing,Library section,,,,
"Sep 1, 2022 3:32:44 PM","Application Control,URL Filtering",Accept,Session,,gateway.vnit.ac.in,172.27.41.68,,142.251.42.97,https,Medium,Google Ads,Web Advertisements,VNIT allowed sites and applications computers and business added on 290921,,,,
"Sep 1, 2022 3:32:44 PM",Application Control,Accept,Session,,gateway.vnit.ac.in,10.15.5.17,,157.240.237.34,https,Low,Facebook,Social Networking,Library section allowed,,,,
"Sep 1, 2022 3:32:44 PM","Application Control,URL Filtering",Accept,Session,,gateway.vnit.ac.in,10.19.0.24,,172.64.155.188,http,Very Low,Certificate Revocation List,Network Protocols,VNIT allowed sites and applications computers and business added on 290921,"http://crl.usertrust.com/AddTrustExternalCARoot.crl,http://crl.usertrust.com/AddTrustExternalCARoot.crl",,,
"Sep 1, 2022 3:32:44 PM",Application Control,Accept,Session,,gateway.vnit.ac.in,10.92.2.57,,40.90.184.82,https,Low,Microsoft Services,Computers / Internet,VNIT allowed sites and applications computers and business added on 290921,,,,
"Sep 1, 2022 3:32:44 PM",Application Control,Accept,Session,,gateway.vnit.ac.in,172.25.75.219,,bom12s17-in-f14.1e100.net (142.250.192.110),http,Low,Google Search,Search Engines / Portals,VNIT allowed sites and applications computers and business added on 290921,"http://clients3.google.com/generate_204,http://clients3.google.com/generate_204,http://clients3.google.com/generate_204",,,
"Sep 1, 2022 3:32:44 PM",Application Control,Accept,Session,,gateway.vnit.ac.in,10.19.0.25,,203.199.81.47,HTTP_and_HTTPS_proxy,Very Low,MQTT Protocol,Network Protocols,VNIT Blocked sites and apps,,,,
"Sep 1, 2022 3:32:44 PM","Application Control,URL Filtering",Accept,Session,,gateway.vnit.ac.in,10.6.1.242,,142.250.67.206,https,Unknown,sb-ssl.google.com,Search Engines / Portals,VNIT allowed sites and applications computers and business added on 290921,,,,
"Sep 1, 2022 3:32:44 PM",Application Control,Accept,Session,,gateway.vnit.ac.in,172.25.97.30,,172.217.194.139,UDP_1-1024,Unknown,Unknown Traffic,Unknown Traffic,VNIT Blocked sites and apps,,,,
"Sep 1, 2022 3:32:44 PM","Application Control,URL Filtering",Accept,Session,,gateway.vnit.ac.in,10.19.0.24,,104.18.32.68,http,Very Low,OCSP,Network Protocols,VNIT allowed sites and applications computers and business added on 290921,"http://ocsp.usertrust.com/MFEwTzBNMEswSTAJBgUrDgMCGgUABBR8sWZUnKvbRO5iJhat9GV793rVlAQUrb2YejS0Jvf6xCZU7wO94CTLVBoCECdm7lbrSfOOq9dwovyE3iI=,http://ocsp.usertrust.com/MFEwTzBNMEswSTAJBgUrDgMCGgUABBR8sWZUnKvbRO5iJhat9GV793rVlAQUrb2YejS0Jvf6xCZU7wO94CTLVBoCECdm7lbrSfOOq9dwovyE3iI=,http://ocsp.usertrust.com/MFEwTzBNMEswSTAJBgUrDgMCGgUABBR8sWZUnKvbRO5iJhat9GV793rVlAQUrb2YejS0Jvf6xCZU7wO94CTLVBoCECdm7lbrSfOOq9dwovyE3iI=",,,
"Sep 1, 2022 3:32:44 PM",Application Control,Accept,Session,,gateway.vnit.ac.in,172.25.192.101,,G-8.8.8.8 (8.8.8.8),UDP_1-1024,Unknown,Unknown Traffic,Unknown Traffic,VNIT Blocked sites and apps,,,,
"Sep 1, 2022 3:32:44 PM",Application Control,Accept,Session,,gateway.vnit.ac.in,172.25.72.150,,bom12s07-in-f14.1e100.net (142.250.67.174),http,Low,Google Search,Search Engines / Portals,VNIT allowed sites and applications computers and business added on 290921,"http://clients3.google.com/generate_204,http://clients3.google.com/generate_204,http://clients3.google.com/generate_204",,,
"Sep 1, 2022 3:32:44 PM",Application Control,Accept,Session,,gateway.vnit.ac.in,10.14.0.26,,20.190.146.34,https,Very Low,Microsoft Account,Web Services Provider,VNIT allowed sites and applications computers and business added on 290921,,,,
"Sep 1, 2022 3:32:44 PM",Application Control,Accept,Session,,gateway.vnit.ac.in,172.27.40.226,,52.113.194.132,https,Low,Office Online,Web Services Provider,VNIT allowed sites and applications computers and business added on 290921,,,,
"Sep 1, 2022 3:32:44 PM",Application Control,Accept,Session,,gateway.vnit.ac.in,172.27.40.226,,13.107.4.52,http,Low,Microsoft NCSI,Network Utilities,VNIT allowed sites and applications computers and business added on 290921,"http://www.msftconnecttest.com/connecttest.txt,http://www.msftconnecttest.com/connecttest.txt,http://www.msftconnecttest.com/connecttest.txt",,,
"Sep 1, 2022 3:32:44 PM","Application Control,URL Filtering",Accept,Session,,gateway.vnit.ac.in,10.10.7.202,,bom07s28-in-f1.1e100.net (142.250.182.193),https,Medium,Google Ads,Web Advertisements,VNIT allowed sites and applications computers and business added on 290921,,,,
"Sep 1, 2022 3:32:43 PM","Application Control,URL Filtering",Accept,Session,,gateway.vnit.ac.in,192.168.11.222,,117.18.237.29,http,Very Low,OCSP,Network Protocols,VNIT allowed sites and applications computers and business added on 290921,"http://ocsp.digicert.com/MFEwTzBNMEswSTAJBgUrDgMCGgUABBSAUQYBMq2awn1Rh6Doh/sBYgFV7gQUA95QNVbRTLtm8KPiGxvDl7I90VUCEAJ0LqoXyo4hxxe7H/z9DKA=,http://ocsp.digicert.com/MFEwTzBNMEswSTAJBgUrDgMCGgUABBSAUQYBMq2awn1Rh6Doh/sBYgFV7gQUA95QNVbRTLtm8KPiGxvDl7I90VUCEAJ0LqoXyo4hxxe7H/z9DKA=",,,
"Sep 1, 2022 3:32:43 PM","Application Control,URL Filtering",Accept,Session,,gateway.vnit.ac.in,192.168.11.222,,117.18.237.29,http,Low,Windows 10 Update,Network Protocols,VNIT allowed sites and applications computers and business added on 290921,"http://ocsp.digicert.com/MFEwTzBNMEswSTAJBgUrDgMCGgUABBSAUQYBMq2awn1Rh6Doh/sBYgFV7gQUA95QNVbRTLtm8KPiGxvDl7I90VUCEAJ0LqoXyo4hxxe7H/z9DKA=,http://ocsp.digicert.com/MFEwTzBNMEswSTAJBgUrDgMCGgUABBSAUQYBMq2awn1Rh6Doh/sBYgFV7gQUA95QNVbRTLtm8KPiGxvDl7I90VUCEAJ0LqoXyo4hxxe7H/z9DKA=,http://ocsp.digicert.com/MFEwTzBNMEswSTAJBgUrDgMCGgUABBSAUQYBMq2awn1Rh6Doh/sBYgFV7gQUA95QNVbRTLtm8KPiGxvDl7I90VUCEAJ0LqoXyo4hxxe7H/z9DKA=",,,
"Sep 1, 2022 3:32:43 PM",Application Control,Accept,Session,,gateway.vnit.ac.in,172.25.79.74,,172.217.160.194,TCP_1-1024,Medium,Google Ads,Web Advertisements,VNIT Blocked sites and apps,,,,
"Sep 1, 2022 3:32:43 PM",Application Control,Accept,Session,,gateway.vnit.ac.in,172.16.100.252,,52.113.194.132,https,Low,Microsoft Teams,Web Conferencing,VNIT allowed sites and applications computers and business added on 290921,,,,
"Sep 1, 2022 3:32:43 PM",Application Control,Accept,Session,,gateway.vnit.ac.in,10.14.4.115,,a125-56-225-66.deploy.static.akamaitechnologies.com (125.56.225.66),TCP_1-1024,Low,Apple Services,Web Services Provider,VNIT Blocked sites and apps,,,,
"Sep 1, 2022 3:32:43 PM",Application Control,Accept,Session,,gateway.vnit.ac.in,172.27.5.53,,216.58.203.37,https,Medium,Gmail,Email,VNIT allowed sites and applications computers and business added on 290921,,,,
"Sep 1, 2022 3:32:43 PM",Application Control,Accept,Session,,gateway.vnit.ac.in,10.15.7.244,,172.217.160.173,https,Medium,Google Accounts,Web Services Provider,Library section allowed,,,,
"Sep 1, 2022 3:32:43 PM",Application Control,Accept,Session,,gateway.vnit.ac.in,10.8.1.66,,23.63.109.91,TCP_1-1024,Low,MSN-web,Search Engines / Portals,VNIT Blocked sites and apps,,,,
"Sep 1, 2022 3:32:43 PM",Application Control,Accept,Session,,gateway.vnit.ac.in,10.4.1.84,,27.123.42.205,TCP_1-1024,Medium,Yahoo! Ads,Web Advertisements,VNIT Blocked sites and apps,,,,
"Sep 1, 2022 3:32:43 PM",Application Control,Accept,Session,,gateway.vnit.ac.in,10.4.1.84,,13.107.42.14,TCP_1-1024,Low,LinkedIn,Social Networking,VNIT Blocked sites and apps,,,,
"Sep 1, 2022 3:32:43 PM","Application Control,URL Filtering",Accept,Session,,gateway.vnit.ac.in,10.13.0.59,,104.89.120.43,http,Very Low,Certificate Revocation List,Network Protocols,VNIT allowed sites and applications computers and business added on 290921,"http://x1.c.lencr.org/,http://x1.c.lencr.org/,http://x1.c.lencr.org/",,,
"Sep 1, 2022 3:32:43 PM","Application Control,URL Filtering",Accept,Session,,gateway.vnit.ac.in,172.27.41.68,,117.18.237.29,http,Very Low,OCSP,Network Protocols,VNIT allowed sites and applications computers and business added on 290921,"http://ocsp.digicert.com/MFEwTzBNMEswSTAJBgUrDgMCGgUABBQ50otx/h0Ztl+z8SiPI7wEWVxDlQQUTiJUIBiV5uNu5g/6+rkS7QYXjzkCEALnkXH7gCHpP+LZg4NMUMA=,http://ocsp.digicert.com/MFEwTzBNMEswSTAJBgUrDgMCGgUABBQ50otx/h0Ztl+z8SiPI7wEWVxDlQQUTiJUIBiV5uNu5g/6+rkS7QYXjzkCEALnkXH7gCHpP+LZg4NMUMA=,http://ocsp.digicert.com/MFEwTzBNMEswSTAJBgUrDgMCGgUABBQ50otx/h0Ztl+z8SiPI7wEWVxDlQQUTiJUIBiV5uNu5g/6+rkS7QYXjzkCEALnkXH7gCHpP+LZg4NMUMA=",,,
"Sep 1, 2022 3:32:43 PM","Application Control,URL Filtering",Accept,Session,,gateway.vnit.ac.in,10.13.0.59,,104.89.120.43,http,Low,Windows 10 Update,Network Protocols,VNIT allowed sites and applications computers and business added on 290921,"http://x1.c.lencr.org/,http://x1.c.lencr.org/,http://x1.c.lencr.org/",,,
"Sep 1, 2022 3:32:43 PM","Application Control,URL Filtering",Accept,Session,,gateway.vnit.ac.in,172.25.72.70,,117.18.237.29,http,Very Low,OCSP,Network Protocols,VNIT allowed sites and applications computers and business added on 290921,"http://ocsp.digicert.com/MFEwTzBNMEswSTAJBgUrDgMCGgUABBTBL0V27RVZ7LBduom/nYB45SPUEwQU5Z1ZMIJHWMys+ghUNoZ7OrUETfACEA+nRyLFPYjID1ie+x+dSjo=,http://ocsp.digicert.com/MFEwTzBNMEswSTAJBgUrDgMCGgUABBTBL0V27RVZ7LBduom/nYB45SPUEwQU5Z1ZMIJHWMys+ghUNoZ7OrUETfACEA+nRyLFPYjID1ie+x+dSjo=",,,
"Sep 1, 2022 3:32:43 PM",Application Control,Accept,Session,,gateway.vnit.ac.in,10.4.1.84,,52.74.162.2,https,Low,Yahoo Analytics,Business / Economy,VNIT allowed sites and applications computers and business added on 290921,,,,
"Sep 1, 2022 3:32:43 PM",Application Control,Accept,Session,,gateway.vnit.ac.in,10.87.53.10,,65.0.142.55,TCP_1-1024,Unknown,Unknown Traffic,Unknown Traffic,VNIT Blocked sites and apps,,,,
"Sep 1, 2022 3:32:43 PM",Application Control,Accept,Session,,gateway.vnit.ac.in,10.4.1.84,,52.95.126.160,https,Low,Amazon,Shopping,VNIT allowed sites and applications computers and business added on 290921,,,,
"Sep 1, 2022 3:32:43 PM",Application Control,Accept,Session,,gateway.vnit.ac.in,10.15.13.129,,203.199.81.51,HTTP_and_HTTPS_proxy,Very Low,MQTT Protocol,Network Protocols,VNIT Blocked sites and apps,,,,
"Sep 1, 2022 3:32:42 PM",Application Control,Accept,Session,,gateway.vnit.ac.in,10.10.7.202,,8.118.190.35.bc.googleusercontent.com (35.190.118.8),https,Very Low,Truecaller,Business / Economy,VNIT allowed sites and applications computers and business added on 290921,,,,
"Sep 1, 2022 3:32:42 PM","Application Control,URL Filtering",Accept,Session,,gateway.vnit.ac.in,192.168.11.12,,17.57.172.10,https,Very Low,Apple Location Service,Web Services Provider,VNIT allowed sites and applications computers and business added on 290921,,,,
"Sep 1, 2022 3:32:42 PM",Application Control,Accept,Session,,gateway.vnit.ac.in,172.27.5.35,,104.244.42.66,TCP_1-1024,Low,Twitter,Social Networking,VNIT Blocked sites and apps,,,,
"Sep 1, 2022 3:32:42 PM",Application Control,Accept,Session,,gateway.vnit.ac.in,10.15.5.17,,142.250.192.150,https,Low,YouTube,Media Streams,Library section allowed,,,,
"Sep 1, 2022 3:32:42 PM",Application Control,Accept,Session,,gateway.vnit.ac.in,10.15.5.17,,129.227.254.88,Napster_directory_8888_primary,Very Low,MQTT Protocol,Network Protocols,VNIT Blocked sites and apps,,,,
"Sep 1, 2022 3:32:42 PM",Application Control,Accept,Session,,gateway.vnit.ac.in,192.168.11.12,,74.125.68.108,TCP_1-1024,Medium,Gmail,Email,VNIT Blocked sites and apps,,,,
"Sep 1, 2022 3:32:42 PM",Application Control,Accept,Session,,gateway.vnit.ac.in,10.15.5.17,,25.224.186.35.bc.googleusercontent.com (35.186.224.25),https,Low,Spotify,Media Streams,Library section allowed,,,,
"Sep 1, 2022 3:32:42 PM","Application Control,URL Filtering",Accept,Session,,gateway.vnit.ac.in,192.168.11.12,,17.248.164.18,https,Low,iCloud,Media Sharing,VNIT allowed sites and applications computers and business added on 290921,,,,
"Sep 1, 2022 3:32:42 PM",Application Control,Accept,Session,,gateway.vnit.ac.in,192.168.11.12,,17.145.16.2,TCP_1-1024,Low,Apple Services,Web Services Provider,VNIT Blocked sites and apps,,,,
"Sep 1, 2022 3:32:42 PM",Application Control,Accept,Session,,gateway.vnit.ac.in,10.15.5.17,,142.250.192.150,UDP_1-1024,Low,Quic Protocol,Network Protocols,VNIT Blocked sites and apps,,,,
"Sep 1, 2022 3:32:42 PM","Application Control,URL Filtering",Accept,Session,,gateway.vnit.ac.in,10.87.33.25,,52.95.118.176,https,Medium,Allowed sites library,Custom Application/Site,VNIT allowed sites and applications computers and business added on 290921,,,,
"Sep 1, 2022 3:32:42 PM",Application Control,Accept,Session,,gateway.vnit.ac.in,192.168.11.222,,20.190.144.160,https,Very Low,Microsoft Account,Web Services Provider,VNIT allowed sites and applications computers and business added on 290921,,,,
"Sep 1, 2022 3:32:42 PM",Application Control,Accept,Session,,gateway.vnit.ac.in,10.5.5.10,,142.250.192.37,https,Medium,Gmail,Email,VNIT allowed sites and applications computers and business added on 290921,,,,
"Sep 1, 2022 3:32:42 PM","Application Control,URL Filtering",Accept,Session,,gateway.vnit.ac.in,172.25.72.70,,54.182.1.8,http,Low,Windows 10 Update,Network Protocols,VNIT allowed sites and applications computers and business added on 290921,"http://ocsp.rootg2.amazontrust.com/MFQwUjBQME4wTDAJBgUrDgMCGgUABBSIfaREXmfqfJR3TkMYnD7O5MhzEgQUnF8A36oB1zArOIiiuG1KnPIRkYMCEwZ/lEoqJ83z+sKuKwH5CO65xMY=,http://ocsp.rootg2.amazontrust.com/MFQwUjBQME4wTDAJBgUrDgMCGgUABBSIfaREXmfqfJR3TkMYnD7O5MhzEgQUnF8A36oB1zArOIiiuG1KnPIRkYMCEwZ/lEoqJ83z+sKuKwH5CO65xMY=,http://ocsp.rootg2.amazontrust.com/MFQwUjBQME4wTDAJBgUrDgMCGgUABBSIfaREXmfqfJR3TkMYnD7O5MhzEgQUnF8A36oB1zArOIiiuG1KnPIRkYMCEwZ/lEoqJ83z+sKuKwH5CO65xMY=,http://ocsp.rootg2.amazontrust.com/MFQwUjBQME4wTDAJBgUrDgMCGgUABBSIfaREXmfqfJR3TkMYnD7O5MhzEgQUnF8A36oB1zArOIiiuG1KnPIRkYMCEwZ/lEoqJ83z+sKuKwH5CO65xMY=",,,
"Sep 1, 2022 3:32:41 PM",Application Control,Accept,Session,,gateway.vnit.ac.in,10.87.33.25,,13.227.129.15,https,Low,Amazon,Shopping,VNIT allowed sites and applications computers and business added on 290921,,,,
"Sep 1, 2022 3:32:41 PM",Application Control,Accept,Session,,gateway.vnit.ac.in,10.14.4.115,,157.240.237.34,TCP_1-1024,Low,Facebook,Social Networking,VNIT Blocked sites and apps,,,,
"Sep 1, 2022 3:32:41 PM",Application Control,Accept,Session,,gateway.vnit.ac.in,10.14.4.115,,129.227.17.165,TCP_1-1024,Very Low,MQTT Protocol,Network Protocols,VNIT Blocked sites and apps,,,,
"Sep 1, 2022 3:32:41 PM",Application Control,Accept,Session,,gateway.vnit.ac.in,10.15.6.100,,a-0001.a-msedge.net (204.79.197.200),https,Low,Bing,Search Engines / Portals,Library section allowed,,,,
"Sep 1, 2022 3:32:40 PM",Application Control,Accept,Session,,gateway.vnit.ac.in,10.87.50.180,,bom07s24-in-f14.1e100.net (142.250.67.238),UDP_1-1024,Low,Quic Protocol,Network Protocols,VNIT Blocked sites and apps,,,,
"Sep 1, 2022 3:32:40 PM","Application Control,URL Filtering",Accept,Session,,gateway.vnit.ac.in,10.8.1.66,,a-0003.a-msedge.net (204.79.197.203),https,Low,MSN-web,Search Engines / Portals,VNIT allowed sites and applications computers and business added on 290921,,,,
"Sep 1, 2022 3:32:40 PM","Application Control,URL Filtering",Accept,Session,,gateway.vnit.ac.in,172.26.97.244,,142.250.194.110,https,Unknown,clients6.google.com,Search Engines / Portals,VNIT allowed sites and applications computers and business added on 290921,,,,
"Sep 1, 2022 3:32:40 PM",Application Control,Accept,Session,,gateway.vnit.ac.in,172.26.74.206,,142.250.183.66,TCP_1-1024,Medium,Google Ads,Web Advertisements,VNIT Blocked sites and apps,,,,
"Sep 1, 2022 3:32:40 PM",Application Control,Accept,Session,,gateway.vnit.ac.in,172.27.13.56,,13.107.42.14,TCP_1-1024,Low,LinkedIn,Social Networking,VNIT Blocked sites and apps,,,,
"Sep 1, 2022 3:32:40 PM",Application Control,Accept,Session,,gateway.vnit.ac.in,172.27.4.54,,13.227.136.83,https,Low,Mapbox,Computers / Internet,VNIT allowed sites and applications computers and business added on 290921,,,,
"Sep 1, 2022 3:32:40 PM",Application Control,Accept,Session,,gateway.vnit.ac.in,10.8.1.66,,a-0001.a-msedge.net (204.79.197.200),TCP_1-1024,Low,Bing Maps,Search Engines / Portals,VNIT Blocked sites and apps,,,,
"Sep 1, 2022 3:32:40 PM",Application Control,Accept,Session,,gateway.vnit.ac.in,10.6.0.78,,114.29.220.99,https,Medium,Cisco WebEx Meetings,Web Conferencing,VNIT allowed sites and applications computers and business added on 290921,,,,
"Sep 1, 2022 3:32:40 PM",Application Control,Drop,Session,,gateway.vnit.ac.in,10.15.0.17,,3.109.246.19,UDP/8802,Unknown,Unknown Traffic,Unknown Traffic,Library section,,,,
