Time,Creation Time,Interface Direction,Policy Rule UID,Type,Index Time,App Protocol,Policy Date,Action,ID,aggregated_log_count,Interface Name,Application ID,Layer Name,Last Update Sequence Number,Direction of Connection,Sequence Number,Source Zone,Access Rule Name,Browse Time,Marker,Number of Connections,Protocol,Application Risk,Application Category,Policy Management,Last Update Time,Destination,Application Name,Confidence Level,Last Update Time,Rule,Interface,Duration,All Application Categories,Service ID,Matched Category,Destination Country,Severity,Product Family,Blade,Source,update_count,Policy Name,Destination Zone,Database Tag,Log Server Origin,Service,Origin,Destination Port,Log Server IP,stored,layer_uuid_rule_uuid,High Level Log key,logid,sig_id,Application Signature ID,Application Description,Method,Resource,Web Client Type,Received Bytes,Packets,Client Outbound Packets,Traffic Sent Bytes,Server Inbound Packets,Server Inbound Bytes,Sent Bytes,Client Inbound Bytes,Client Inbound Packets,Client Outbound Bytes,Traffic Received Bytes,Server Outbound Packets,Server Outbound Bytes,Total Bytes,Traffic Total Bytes,Client Type OS,Number of URLs,Description,Source Port,certificate_resource,certificate_validation,Number of files,Frequency,UserCheck ID,UserCheck Reference,Log ID,UserCheck Interaction Name,User Check,Confirmation Scope,UserCheck Message to User,,
"Sep 1, 2022 3:31:56 PM",2022-09-01T10:01:56Z,inbound,08739ec8-c102-4f82-b6ce-6f38c4ef635f,Session,2022-09-01T08:48:48Z,HTTPS,2022-08-30T04:11:05Z,Accept,c0a80101-b542-0000-6310-831400000037,4,eth1-01,1976698291,Web Content,23602,Outgoing,23602,Internal,VNIT allowed sites and applications computers and business added on 290921,0,@A@@B@1662019661@C@2519203,2,TCP (6) (6),Unknown,Computers / Internet,mgmt,1.66E+12,bom07s28-in-f1.1e100.net (142.250.182.193),lh3.googleusercontent.com,N/A,2022-09-01T11:03:34Z,49.17,eth1-01,5880,"Computers / Internet,URL Filtering",https,Computers / Internet,United States,Informational,Access,URL Filtering,10.87.52.34,5,Standard,External,{78CD2304-D945-4A41-8840-0A11C19AA50D},mgmt (192.168.2.254),https,gateway.vnit.ac.in,443,192.168.2.254,TRUE,"8a5e96fb-c793-457f-b78f-c667074223a5_04b68e94-89f4-4c90-a56e-df9516dc2ab9,c1cdc3e4-a592-4c9a-aa09-05eeca850531_08739ec8-c102-4f82-b6ce-6f38c4ef635f,90215d11-457e-4db3-91e1-df29a7bacace_717afc89-c012-4346-8786-ac2b1b3f34bc",1.59E+19,352,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 2022 3:31:56 PM",2022-09-01T10:01:56Z,inbound,4a6d8a91-6b95-4070-be89-fc5e432f6fcf,Session,2022-09-01T08:48:48Z,HTTPS,2022-08-30T04:11:05Z,Accept,c0a80101-b542-0000-6310-831400000035,15,eth1-01,1191667143,Web Content,23600,Outgoing,23600,Internal,VNIT Blocked sites and apps,36,@A@@B@1662019661@C@2519201,15,TCP (6) (6),Unknown,Shopping,mgmt,1.66E+12,163.53.76.64,rome.api.flipkart.com,N/A,2022-09-01T10:07:13Z,49.18,eth1-01,5880,"Shopping,URL Filtering",TCP_1-1024,Shopping,India,Informational,Access,URL Filtering,10.87.52.198,4,Standard,External,{78CD2304-D945-4A41-8840-0A11C19AA50D},mgmt (192.168.2.254),TCP_1-1024,gateway.vnit.ac.in,443,192.168.2.254,TRUE,"8a5e96fb-c793-457f-b78f-c667074223a5_04b68e94-89f4-4c90-a56e-df9516dc2ab9,c1cdc3e4-a592-4c9a-aa09-05eeca850531_4a6d8a91-6b95-4070-be89-fc5e432f6fcf,90215d11-457e-4db3-91e1-df29a7bacace_717afc89-c012-4346-8786-ac2b1b3f34bc",1.07E+18,352,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 2022 3:31:56 PM",2022-09-01T10:01:56Z,inbound,08739ec8-c102-4f82-b6ce-6f38c4ef635f,Session,2022-09-01T08:48:48Z,HTTPS,2022-08-30T04:11:05Z,Accept,c0a80101-b542-0000-6310-831400000034,2,eth1-01,4146129258,Web Content,23599,Outgoing,23599,Internal,VNIT allowed sites and applications computers and business added on 290921,0,@A@@B@1662019661@C@2519200,2,TCP (6) (6),Unknown,Computers / Internet,mgmt,1.66E+12,17.253.85.207,safebrowsing.apple,N/A,2022-09-01T11:23:22Z,49.17,eth1-01,5880,"Computers / Internet,URL Filtering",https,Computers / Internet,Hong Kong,Informational,Access,URL Filtering,10.14.4.115,3,Standard,External,{78CD2304-D945-4A41-8840-0A11C19AA50D},mgmt (192.168.2.254),https,gateway.vnit.ac.in,443,192.168.2.254,TRUE,"8a5e96fb-c793-457f-b78f-c667074223a5_04b68e94-89f4-4c90-a56e-df9516dc2ab9,c1cdc3e4-a592-4c9a-aa09-05eeca850531_08739ec8-c102-4f82-b6ce-6f38c4ef635f,90215d11-457e-4db3-91e1-df29a7bacace_717afc89-c012-4346-8786-ac2b1b3f34bc",8.77E+18,352,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 2022 3:31:56 PM",2022-09-01T10:01:56Z,inbound,08739ec8-c102-4f82-b6ce-6f38c4ef635f,Session,2022-09-01T08:48:48Z,HTTPS,2022-08-30T04:11:05Z,Accept,c0a80101-b542-0000-6310-831400000031,4,eth1-01,354503347,Web Content,23596,Outgoing,23596,Internal,VNIT allowed sites and applications computers and business added on 290921,0,@A@@B@1662019661@C@2519197,2,TCP (6) (6),Unknown,Business / Economy,mgmt,1.66E+12,170.72.133.74,wdfwm-a-3.prod.infra.webex.com,N/A,2022-09-01T11:32:07Z,49.17,eth1-01,5880,"Business / Economy,Computers / Internet,URL Filtering",https,Business / Economy,United States,Informational,Access,URL Filtering,10.4.0.40,4,Standard,External,{78CD2304-D945-4A41-8840-0A11C19AA50D},mgmt (192.168.2.254),https,gateway.vnit.ac.in,443,192.168.2.254,TRUE,"8a5e96fb-c793-457f-b78f-c667074223a5_04b68e94-89f4-4c90-a56e-df9516dc2ab9,c1cdc3e4-a592-4c9a-aa09-05eeca850531_08739ec8-c102-4f82-b6ce-6f38c4ef635f,90215d11-457e-4db3-91e1-df29a7bacace_717afc89-c012-4346-8786-ac2b1b3f34bc",8.79E+18,352,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 2022 3:31:56 PM",2022-09-01T10:01:56Z,inbound,08739ec8-c102-4f82-b6ce-6f38c4ef635f,Session,2022-09-01T08:48:48Z,HTTPS,2022-08-30T04:11:05Z,Accept,c0a80101-b542-0000-6310-831400000030,21,eth1-01,4123147136,Web Content,23595,Outgoing,23595,Internal,VNIT allowed sites and applications computers and business added on 290921,29,@A@@B@1662019661@C@2519196,21,TCP (6) (6),Unknown,Business / Economy,mgmt,1.66E+12,3.209.223.100,scalemonk.com,N/A,2022-09-01T10:32:58Z,49.17,eth1-01,5880,"Business / Economy,URL Filtering",https,Business / Economy,United States,Informational,Access,URL Filtering,10.14.4.115,6,Standard,External,{78CD2304-D945-4A41-8840-0A11C19AA50D},mgmt (192.168.2.254),https,gateway.vnit.ac.in,443,192.168.2.254,TRUE,"8a5e96fb-c793-457f-b78f-c667074223a5_04b68e94-89f4-4c90-a56e-df9516dc2ab9,c1cdc3e4-a592-4c9a-aa09-05eeca850531_08739ec8-c102-4f82-b6ce-6f38c4ef635f,90215d11-457e-4db3-91e1-df29a7bacace_717afc89-c012-4346-8786-ac2b1b3f34bc",1.32E+19,352,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 2022 3:31:56 PM",2022-09-01T10:01:56Z,outbound,4a6d8a91-6b95-4070-be89-fc5e432f6fcf,Session,2022-09-01T08:48:48Z,SSLv3,2022-08-30T04:11:05Z,Accept,c0a80101-b542-0000-6310-83140000002f,2,eth1-01,2494975654,Web Content,23594,Outgoing,23594,,VNIT Blocked sites and apps,0,@A@@B@1662019661@C@2519195,2,TCP (6) (6),Unknown,Computers / Internet,mgmt,1.66E+12,18.210.30.119,18.210.30.119,N/A,2022-09-01T10:14:06Z,49.18,eth1-01,5880,"Computers / Internet,URL Filtering",tcp-high-ports,Computers / Internet,United States,Informational,Access,URL Filtering,10.14.4.115,3,Standard,,{78CD2304-D945-4A41-8840-0A11C19AA50D},mgmt (192.168.2.254),tcp-high-ports,gateway.vnit.ac.in,3250,192.168.2.254,TRUE,"8a5e96fb-c793-457f-b78f-c667074223a5_04b68e94-89f4-4c90-a56e-df9516dc2ab9,c1cdc3e4-a592-4c9a-aa09-05eeca850531_4a6d8a91-6b95-4070-be89-fc5e432f6fcf,90215d11-457e-4db3-91e1-df29a7bacace_717afc89-c012-4346-8786-ac2b1b3f34bc",8.18E+18,352,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 2022 3:31:56 PM",2022-09-01T10:01:56Z,inbound,08739ec8-c102-4f82-b6ce-6f38c4ef635f,Session,2022-09-01T08:48:48Z,HTTPS,2022-08-30T04:11:05Z,Accept,c0a80101-b542-0000-6310-83140000002e,8,eth1-01,1468245808,Web Content,23593,Outgoing,23593,Internal,VNIT allowed sites and applications computers and business added on 290921,7,@A@@B@1662019661@C@2519194,8,TCP (6) (6),Unknown,Computers / Internet,mgmt,1.66E+12,184.27.122.178,unityads.unity3d.com,N/A,2022-09-01T10:03:19Z,49.17,eth1-01,5880,"Computers / Internet,URL Filtering",https,Computers / Internet,United States,Informational,Access,URL Filtering,10.14.4.115,4,Standard,External,{78CD2304-D945-4A41-8840-0A11C19AA50D},mgmt (192.168.2.254),https,gateway.vnit.ac.in,443,192.168.2.254,TRUE,"8a5e96fb-c793-457f-b78f-c667074223a5_04b68e94-89f4-4c90-a56e-df9516dc2ab9,c1cdc3e4-a592-4c9a-aa09-05eeca850531_08739ec8-c102-4f82-b6ce-6f38c4ef635f,90215d11-457e-4db3-91e1-df29a7bacace_717afc89-c012-4346-8786-ac2b1b3f34bc",4.95E+18,352,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 2022 3:31:56 PM",2022-09-01T10:01:56Z,inbound,1000869c-1ede-4ea8-8953-f806b202e6d7,Session,2022-09-01T08:48:48Z,HTTPS,2022-08-30T04:11:05Z,Accept,c0a80101-b542-0000-6310-83140000002d,26,eth1-01,4201234055,Web Content,23592,Outgoing,23592,Internal,Library section allowed,123,@A@@B@1662019661@C@2519193,26,TCP (6) (6),Unknown,Web Advertisements,mgmt,1.66E+12,104.114.103.94,aaxads.com,N/A,2022-09-01T11:01:25Z,49.12,eth1-01,5880,"Web Advertisements,URL Filtering",https,Web Advertisements,United States,Informational,Access,URL Filtering,10.15.14.150,9,Standard,External,{78CD2304-D945-4A41-8840-0A11C19AA50D},mgmt (192.168.2.254),https,gateway.vnit.ac.in,443,192.168.2.254,TRUE,"8a5e96fb-c793-457f-b78f-c667074223a5_04b68e94-89f4-4c90-a56e-df9516dc2ab9,c1cdc3e4-a592-4c9a-aa09-05eeca850531_1000869c-1ede-4ea8-8953-f806b202e6d7,90215d11-457e-4db3-91e1-df29a7bacace_717afc89-c012-4346-8786-ac2b1b3f34bc",1.45E+19,352,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 2022 3:31:56 PM",2022-09-01T10:01:56Z,inbound,4a6d8a91-6b95-4070-be89-fc5e432f6fcf,Session,2022-09-01T08:48:48Z,HTTPS,2022-08-30T04:11:05Z,Accept,c0a80101-b542-0000-6310-83140000002c,11,eth1-01,819163893,Web Content,23591,Outgoing,23591,Internal,VNIT Blocked sites and apps,4,@A@@B@1662019661@C@2519192,11,TCP (6) (6),Unknown,Uncategorized,mgmt,1.66E+12,77.74.181.34,77.74.181.34,N/A,2022-09-01T11:38:12Z,49.18,eth1-01,5880,"Uncategorized,URL Filtering",TCP_1-1024,Uncategorized,Russian Federation,Informational,Access,URL Filtering,192.168.11.44,7,Standard,External,{78CD2304-D945-4A41-8840-0A11C19AA50D},mgmt (192.168.2.254),TCP_1-1024,gateway.vnit.ac.in,443,192.168.2.254,TRUE,"8a5e96fb-c793-457f-b78f-c667074223a5_04b68e94-89f4-4c90-a56e-df9516dc2ab9,c1cdc3e4-a592-4c9a-aa09-05eeca850531_4a6d8a91-6b95-4070-be89-fc5e432f6fcf,90215d11-457e-4db3-91e1-df29a7bacace_717afc89-c012-4346-8786-ac2b1b3f34bc",9.02E+18,352,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 1, 2022 3:31:56 PM",2022-09-01T10:01:56Z,inbound,4a6d8a91-6b95-4070-be89-fc5e432f6fcf,Session,2022-09-01T08:48:48Z,HTTPS,2022-08-30T04:11:05Z,Accept,c0a80101-b542-0000-6310-83140000002b,6,eth1-01,701085830,Web Content,23590,Outgoing,23590,Internal,VNIT Blocked sites and apps,3,@A@@B@1662019661@C@2519191,6,TCP (6) (6),Unknown,Web Advertisements,mgmt,1.66E+12,23.199.66.195,api.vungle.com,N/A,2022-09-01T11:28:20Z,49.18,eth1-01,5880,"Web Advertisements,URL Filtering",TCP_1-1024,Web Advertisements,United States,Informational,Access,URL Filtering,172.25.71.18,6,Standard,External,{78CD2304-D945-4A41-8840-0A11C19AA50D},mgmt (192.168.2.254),TCP_1-1024,gateway.vnit.ac.in,443,192.168.2.254,TRUE,"8a5e96fb-c793-457f-b78f-c667074223a5_04b68e94-89f4-4c90-a56e-df9516dc2ab9,c1cdc3e4-a592-4c9a-aa09-05eeca850531_4a6d8a91-6b95-4070-be89-fc5e432f6fcf,90215d11-457e-4db3-91e1-df29a7bacace_717afc89-c012-4346-8786-ac2b1b3f34bc",1.07E+19,352,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
