"No.","Time","Source","Destination","Protocol","Length","Info"
"17","0.263458","12:79:be:85:65:ab","Broadcast","ARP","60","ARP Announcement for 10.86.4.173"
"18","0.266518","HewlettP_18:db:6a","Broadcast","ARP","60","Who has 10.86.4.110? Tell 10.86.0.1"
"19","0.274458","52.184.81.210","10.86.11.73","TCP","1464","443  >  60259 [ACK] Seq=6034 Ack=3689 Win=1020 Len=1410 [TCP segment of a reassembled PDU]"
"20","0.274458","52.184.81.210","10.86.11.73","TCP","1464","443  >  60259 [ACK] Seq=7444 Ack=3689 Win=1020 Len=1410 [TCP segment of a reassembled PDU]"
"21","0.274458","52.184.81.210","10.86.11.73","TCP","1464","443  >  60259 [ACK] Seq=8854 Ack=3689 Win=1020 Len=1410 [TCP segment of a reassembled PDU]"
"22","0.274563","10.86.11.73","52.184.81.210","TCP","54","60259  >  443 [ACK] Seq=3689 Ack=10264 Win=1024 Len=0"
"23","0.275564","52.184.81.210","10.86.11.73","TCP","1464","443  >  60259 [ACK] Seq=10264 Ack=3689 Win=1020 Len=1410 [TCP segment of a reassembled PDU]"
"24","0.275564","52.184.81.210","10.86.11.73","TLSv1.2","174","Application Data"
"25","0.275564","52.184.81.210","10.86.11.73","TLSv1.2","92","Application Data"
"26","0.275564","52.184.81.210","10.86.11.73","TCP","1464","443  >  60259 [ACK] Seq=11832 Ack=3689 Win=1020 Len=1410 [TCP segment of a reassembled PDU]"
"27","0.275641","10.86.11.73","52.184.81.210","TCP","54","60259  >  443 [ACK] Seq=3689 Ack=13242 Win=1024 Len=0"
"28","0.277069","52.184.81.210","10.86.11.73","TCP","1464","443  >  60259 [ACK] Seq=13242 Ack=3689 Win=1020 Len=1410 [TCP segment of a reassembled PDU]"
"29","0.277069","52.184.81.210","10.86.11.73","TLSv1.2","1250","Application Data"
"30","0.277172","10.86.11.73","52.184.81.210","TCP","54","60259  >  443 [ACK] Seq=3689 Ack=15848 Win=1024 Len=0"
"31","0.277545","52.184.81.210","10.86.11.73","TLSv1.2","92","Application Data"
"32","0.277609","10.86.11.73","52.184.81.210","TCP","54","60259  >  443 [ACK] Seq=3689 Ack=15886 Win=1023 Len=0"
"33","0.469537","10.86.10.209","10.86.11.73","TCP","66","1566  >  445 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"34","0.878311","10.86.9.228","10.86.15.255","NBNS","92","Name query NB LAPTOP-2IDJQS4N<1c>"
"35","0.980362","4a:ac:bd:67:7d:e6","Broadcast","ARP","60","Who has 172.27.0.1? Tell 172.27.8.229"
"36","1.076543","10.86.11.73","52.184.81.210","TLSv1.2","959","Application Data"
"37","1.142222","10.86.11.73","13.127.99.68","TCP","66","60260  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"38","1.159973","13.127.99.68","10.86.11.73","TCP","66","443  >  60260 [SYN, ACK] Seq=0 Ack=1 Win=32500 Len=0 MSS=1300 SACK_PERM=1 WS=4096"
"39","1.160093","10.86.11.73","13.127.99.68","TCP","54","60260  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=0"
"40","1.160314","10.86.11.73","13.127.99.68","TLSv1.3","612","Client Hello"
"41","1.176486","13.127.99.68","10.86.11.73","TCP","60","443  >  60260 [ACK] Seq=1 Ack=559 Win=32768 Len=0"
"42","1.177326","13.127.99.68","10.86.11.73","TLSv1.3","266","Server Hello, Change Cipher Spec, Application Data"
"43","1.177699","10.86.11.73","13.127.99.68","TLSv1.3","118","Change Cipher Spec, Application Data"
"44","1.177897","10.86.11.73","13.127.99.68","TLSv1.3","146","Application Data"
"45","1.178111","10.86.11.73","13.127.99.68","TLSv1.3","857","Application Data"
"46","1.178164","10.86.11.73","13.127.99.68","TLSv1.3","994","Application Data"
"47","1.193883","13.127.99.68","10.86.11.73","TCP","60","443  >  60260 [ACK] Seq=213 Ack=623 Win=32768 Len=0"
"48","1.194032","13.127.99.68","10.86.11.73","TCP","60","443  >  60260 [ACK] Seq=213 Ack=715 Win=32768 Len=0"
"49","1.194213","13.127.99.68","10.86.11.73","TLSv1.3","581","Application Data, Application Data"
"50","1.194479","10.86.11.73","13.127.99.68","TLSv1.3","85","Application Data"
"51","1.195165","13.127.99.68","10.86.11.73","TCP","60","443  >  60260 [ACK] Seq=740 Ack=1518 Win=32768 Len=0"
"52","1.195262","13.127.99.68","10.86.11.73","TCP","60","443  >  60260 [ACK] Seq=740 Ack=2458 Win=32768 Len=0"
"53","1.211395","13.127.99.68","10.86.11.73","TCP","60","443  >  60260 [ACK] Seq=740 Ack=2489 Win=32768 Len=0"
"54","1.229063","52.184.81.210","10.86.11.73","TCP","60","443  >  60259 [ACK] Seq=15886 Ack=4594 Win=1024 Len=0"
"55","1.230604","52.184.81.210","10.86.11.73","TCP","1464","443  >  60259 [ACK] Seq=15886 Ack=4594 Win=1024 Len=1410 [TCP segment of a reassembled PDU]"
"56","1.230676","10.86.11.73","52.184.81.210","TCP","54","60259  >  443 [ACK] Seq=4594 Ack=17296 Win=1024 Len=0"
"57","1.230761","52.184.81.210","10.86.11.73","TCP","1464","443  >  60259 [ACK] Seq=17296 Ack=4594 Win=1024 Len=1410 [TCP segment of a reassembled PDU]"
"58","1.230761","52.184.81.210","10.86.11.73","TCP","1464","443  >  60259 [ACK] Seq=18706 Ack=4594 Win=1024 Len=1410 [TCP segment of a reassembled PDU]"
"59","1.230813","10.86.11.73","52.184.81.210","TCP","54","60259  >  443 [ACK] Seq=4594 Ack=20116 Win=1024 Len=0"
"60","1.230888","52.184.81.210","10.86.11.73","TCP","1464","443  >  60259 [ACK] Seq=20116 Ack=4594 Win=1024 Len=1410 [TCP segment of a reassembled PDU]"
"61","1.230888","52.184.81.210","10.86.11.73","TLSv1.2","572","Application Data"
"62","1.230939","10.86.11.73","52.184.81.210","TCP","54","60259  >  443 [ACK] Seq=4594 Ack=22044 Win=1024 Len=0"
"63","1.231152","52.184.81.210","10.86.11.73","TLSv1.2","92","Application Data"
"64","1.231182","10.86.11.73","52.184.81.210","TCP","54","60259  >  443 [ACK] Seq=4594 Ack=22082 Win=1023 Len=0"
"65","1.494020","13.127.99.68","10.86.11.73","TLSv1.3","1315","Application Data"
"66","1.546416","10.86.11.73","13.127.99.68","TCP","54","60260  >  443 [ACK] Seq=2489 Ack=2001 Win=131072 Len=0"
"67","1.594927","00:ff:8b:da:54:6a","Broadcast","ARP","60","ARP Announcement for 0.0.0.0"
"68","1.615466","10.86.11.73","52.184.81.210","TCP","54","60258  >  443 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"69","1.615651","10.86.11.73","52.184.81.210","TCP","54","60259  >  443 [RST, ACK] Seq=4594 Ack=22082 Win=0 Len=0"
"70","1.697567","4a:ac:bd:67:7d:e6","Broadcast","ARP","60","Who has 172.27.0.1? Tell 172.27.8.229"
"71","2.027476","10.86.11.73","13.127.99.68","TCP","54","60260  >  443 [FIN, ACK] Seq=2489 Ack=2001 Win=131072 Len=0"
"72","2.045438","13.127.99.68","10.86.11.73","TLSv1.3","78","Application Data"
"73","2.045438","13.127.99.68","10.86.11.73","TCP","60","443  >  60260 [FIN, ACK] Seq=2025 Ack=2490 Win=32768 Len=0"
"74","2.045513","10.86.11.73","13.127.99.68","TCP","54","60260  >  443 [RST, ACK] Seq=2490 Ack=2025 Win=0 Len=0"
"75","2.521265","4a:ac:bd:67:7d:e6","Broadcast","ARP","60","Who has 172.27.0.1? Tell 172.27.8.229"
"76","2.721349","7a:1a:4b:45:f4:1a","Broadcast","ARP","60","Who has 10.86.0.1? Tell 10.86.4.73"
"77","3.235836","HewlettP_18:db:6a","Broadcast","ARP","60","Who has 10.86.4.110? Tell 10.86.0.1"
"78","3.235836","4a:ac:bd:67:7d:e6","Broadcast","ARP","60","Who has 172.27.0.1? Tell 172.27.8.229"
"79","3.525867","10.86.11.73","13.107.42.12","TLSv1.2","1435","Application Data"
"80","3.540547","13.107.42.12","10.86.11.73","TCP","60","443  >  60196 [ACK] Seq=1 Ack=1382 Win=16379 Len=0"
"81","3.950961","13.107.42.12","10.86.11.73","TLSv1.2","1164","Application Data"
"82","3.992462","10.86.11.73","13.107.42.12","TCP","54","60196  >  443 [ACK] Seq=1382 Ack=1111 Win=513 Len=0"
"83","4.053345","4a:ac:bd:67:7d:e6","Broadcast","ARP","60","Who has 172.27.0.1? Tell 172.27.8.229"
"84","4.053345","117.18.232.200","10.86.11.73","TCP","60","443  >  60201 [ACK] Seq=1 Ack=1 Win=133 Len=0"
"85","4.053471","10.86.11.73","117.18.232.200","TCP","54","[TCP ACKed unseen segment] 60201  >  443 [ACK] Seq=1 Ack=2 Win=1024 Len=0"
"86","4.769670","4a:ac:bd:67:7d:e6","Broadcast","ARP","60","Who has 172.27.0.1? Tell 172.27.8.229"
"87","4.825876","10.86.11.73","10.86.15.255","NBNS","92","Name query NB LAPTOP-54PG1OGH<1c>"
"88","4.829880","10.86.11.73","13.107.42.12","TLSv1.2","1224","Application Data"
"89","4.842820","13.107.42.12","10.86.11.73","TCP","60","443  >  60232 [ACK] Seq=1 Ack=1171 Win=16380 Len=0"
"90","4.975155","HuaweiTe_54:25:d9","Broadcast","ARP","60","Who has 10.86.11.13? Tell 10.86.3.213"
"91","5.101237","10.86.11.73","142.250.66.14","UDP","615","55822  >  443 Len=573"
"92","5.104849","13.107.42.12","10.86.11.73","TLSv1.2","1100","Application Data"
"93","5.112049","10.86.11.73","13.107.42.12","TLSv1.2","1221","Application Data"
"94","5.117455","142.250.66.14","10.86.11.73","UDP","71","443  >  55822 Len=29"
"95","5.125019","13.107.42.12","10.86.11.73","TCP","60","443  >  60196 [ACK] Seq=1111 Ack=2549 Win=16385 Len=0"
"96","5.127270","10.86.11.73","142.250.66.14","UDP","75","55822  >  443 Len=33"
"97","5.151573","10.86.11.73","13.107.42.12","TCP","54","60232  >  443 [ACK] Seq=1171 Ack=1047 Win=517 Len=0"
"98","5.327819","10.86.11.73","142.250.66.14","UDP","75","55822  >  443 Len=33"
"99","5.346358","142.250.66.14","10.86.11.73","UDP","68","443  >  55822 Len=26"
"100","5.401104","13.107.42.12","10.86.11.73","TLSv1.2","1099","Application Data"
"101","5.409949","10.86.11.73","13.107.42.12","TLSv1.2","1222","Application Data"
"102","5.422661","13.107.42.12","10.86.11.73","TCP","60","443  >  60232 [ACK] Seq=1047 Ack=2339 Win=16385 Len=0"
"103","5.452432","10.86.11.73","13.107.42.12","TCP","54","60196  >  443 [ACK] Seq=2549 Ack=2156 Win=517 Len=0"
"104","5.487329","de:e3:be:ae:76:fd","Broadcast","ARP","60","Who has 10.86.0.1? Tell 10.86.9.66"
"105","5.488145","142.250.66.14","10.86.11.73","UDP","570","443  >  55822 Len=528"
"106","5.488408","142.250.66.14","10.86.11.73","UDP","139","443  >  55822 Len=97"
"107","5.488494","10.86.11.73","142.250.66.14","UDP","78","55822  >  443 Len=36"
"108","5.488664","142.250.66.14","10.86.11.73","UDP","78","443  >  55822 Len=36"
"109","5.488788","142.250.66.14","10.86.11.73","UDP","266","443  >  55822 Len=224"
"110","5.491569","10.86.11.73","8.8.4.4","TCP","66","60261  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"111","5.492100","10.86.11.73","142.250.66.14","UDP","75","55822  >  443 Len=33"
"112","5.505077","142.250.66.14","10.86.11.73","UDP","68","443  >  55822 Len=26"
"113","5.505701","8.8.4.4","10.86.11.73","TCP","66","443  >  60261 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM=1 WS=256"
"114","5.505759","10.86.11.73","8.8.4.4","TCP","54","60261  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=0"
"115","5.506031","10.86.11.73","8.8.4.4","TLSv1.3","758","Client Hello"
"116","5.519157","8.8.4.4","10.86.11.73","TCP","60","443  >  60261 [ACK] Seq=1 Ack=705 Win=67072 Len=0"
"117","5.578800","10.86.11.73","10.86.15.255","NBNS","92","Name query NB LAPTOP-54PG1OGH<1c>"
"118","5.580100","8.8.4.4","10.86.11.73","TLSv1.3","375","Server Hello, Change Cipher Spec, Application Data"
"119","5.580417","10.86.11.73","8.8.4.4","TLSv1.3","128","Change Cipher Spec, Application Data"
"120","5.580547","10.86.11.73","8.8.4.4","TLSv1.3","146","Application Data"
"121","5.580656","10.86.11.73","8.8.4.4","TLSv1.3","283","Application Data"
"122","5.580705","10.86.11.73","8.8.4.4","TLSv1.3","243","Application Data"
"123","5.588580","4a:ac:bd:67:7d:e6","Broadcast","ARP","60","Who has 172.27.0.1? Tell 172.27.8.229"
"124","5.593021","8.8.4.4","10.86.11.73","TCP","60","443  >  60261 [ACK] Seq=322 Ack=779 Win=67072 Len=0"
"125","5.593184","8.8.4.4","10.86.11.73","TCP","60","443  >  60261 [ACK] Seq=322 Ack=871 Win=67072 Len=0"
"126","5.593284","8.8.4.4","10.86.11.73","TCP","60","443  >  60261 [ACK] Seq=322 Ack=1100 Win=68352 Len=0"
"127","5.593349","8.8.4.4","10.86.11.73","TCP","60","443  >  60261 [ACK] Seq=322 Ack=1289 Win=69888 Len=0"
"128","5.593911","8.8.4.4","10.86.11.73","TLSv1.3","896","Application Data, Application Data"
"129","5.594128","10.86.11.73","8.8.4.4","TLSv1.3","85","Application Data"
"130","5.594151","8.8.4.4","10.86.11.73","TLSv1.3","85","Application Data"
"131","5.612037","8.8.4.4","10.86.11.73","TCP","60","443  >  60261 [ACK] Seq=1195 Ack=1320 Win=69888 Len=0"
"132","5.618433","8.8.4.4","10.86.11.73","TLSv1.3","435","Application Data"
"133","5.618475","10.86.11.73","8.8.4.4","TCP","54","60261  >  443 [ACK] Seq=1320 Ack=1576 Win=131072 Len=0"
"134","5.619704","8.8.4.4","10.86.11.73","TLSv1.3","553","Application Data"
"135","5.619704","8.8.4.4","10.86.11.73","TLSv1.3","85","Application Data"
"136","5.619743","10.86.11.73","8.8.4.4","TCP","54","60261  >  443 [ACK] Seq=1320 Ack=2106 Win=130560 Len=0"
"137","5.620435","8.8.4.4","10.86.11.73","TLSv1.3","93","Application Data"
"138","5.620589","10.86.11.73","8.8.4.4","TLSv1.3","93","Application Data"
"139","5.628789","8.8.4.4","10.86.11.73","TLSv1.3","137","Application Data"
"140","5.628960","8.8.4.4","10.86.11.73","TLSv1.3","553","Application Data"
"141","5.628960","8.8.4.4","10.86.11.73","TLSv1.3","85","Application Data"
"142","5.628999","10.86.11.73","8.8.4.4","TCP","54","60261  >  443 [ACK] Seq=1359 Ack=2758 Win=130048 Len=0"
"143","5.637927","8.8.4.4","10.86.11.73","TCP","60","443  >  60261 [ACK] Seq=2758 Ack=1359 Win=69888 Len=0"
"144","5.640214","10.86.11.73","172.217.27.195","QUIC","1292","Initial, DCID=646d5e8a9bc05b05, PKN: 1, CRYPTO, PADDING, CRYPTO, PADDING, CRYPTO, PADDING, CRYPTO, PADDING, CRYPTO, PADDING, CRYPTO, CRYPTO, PADDING"
"145","5.651310","10.86.11.73","172.217.27.195","QUIC","117","0-RTT, DCID=646d5e8a9bc05b05"
"146","5.681625","172.217.27.195","10.86.11.73","QUIC","1292","Initial, SCID=646d5e8a9bc05b05, PKN: 1, ACK, PADDING"
"147","5.691727","HewlettP_18:db:6a","Broadcast","ARP","60","Who has 10.86.11.61? Tell 10.86.0.1"
"148","5.711025","10.86.11.73","142.250.66.14","UDP","75","55822  >  443 Len=33"
"149","5.717437","172.217.27.195","10.86.11.73","QUIC","1292","Protected Payload (KP0)"
"150","5.717576","172.217.27.195","10.86.11.73","QUIC","837","Protected Payload (KP0)"
"151","5.717609","172.217.27.195","10.86.11.73","QUIC","118","Protected Payload (KP0)"
"152","5.717609","172.217.27.195","10.86.11.73","QUIC","67","Protected Payload (KP0)"
"153","5.717888","10.86.11.73","172.217.27.195","QUIC","120","Handshake, DCID=646d5e8a9bc05b05"
"154","5.717982","10.86.11.73","172.217.27.195","QUIC","75","Protected Payload (KP0), DCID=646d5e8a9bc05b05"
"155","5.718174","10.86.11.73","172.217.27.195","QUIC","552","Protected Payload (KP0), DCID=646d5e8a9bc05b05"
"156","5.727906","142.250.66.14","10.86.11.73","UDP","68","443  >  55822 Len=26"
"157","5.732567","172.217.27.195","10.86.11.73","QUIC","162","Protected Payload (KP0)"
"158","5.733006","172.217.27.195","10.86.11.73","QUIC","71","Protected Payload (KP0)"
"159","5.733184","10.86.11.73","172.217.27.195","QUIC","75","Protected Payload (KP0), DCID=646d5e8a9bc05b05"
"160","5.734123","13.107.42.12","10.86.11.73","TLSv1.2","1100","Application Data"
"161","5.739562","10.86.11.73","13.107.42.12","TLSv1.2","1226","Application Data"
"162","5.752433","13.107.42.12","10.86.11.73","TCP","60","443  >  60196 [ACK] Seq=2156 Ack=3721 Win=16380 Len=0"
"163","5.784398","10.86.11.73","13.107.42.12","TCP","54","60232  >  443 [ACK] Seq=2339 Ack=2093 Win=513 Len=0"
"164","5.795082","172.217.27.195","10.86.11.73","QUIC","1011","Protected Payload (KP0)"
"165","5.795586","10.86.11.73","172.217.27.195","QUIC","77","Protected Payload (KP0), DCID=646d5e8a9bc05b05"
"166","5.796170","172.217.27.195","10.86.11.73","QUIC","67","Protected Payload (KP0)"
"167","5.796407","10.86.11.73","172.217.27.195","QUIC","75","Protected Payload (KP0), DCID=646d5e8a9bc05b05"
"168","5.796556","10.86.11.73","172.217.27.195","QUIC","78","Protected Payload (KP0), DCID=646d5e8a9bc05b05"
"169","5.811573","172.217.27.195","10.86.11.73","QUIC","67","Protected Payload (KP0)"
"170","5.822732","10.86.11.73","172.217.27.195","QUIC","75","Protected Payload (KP0), DCID=646d5e8a9bc05b05"
"171","5.939617","10.86.11.73","142.250.66.14","UDP","75","55822  >  443 Len=33"
"172","5.958290","142.250.66.14","10.86.11.73","UDP","68","443  >  55822 Len=26"
"173","5.999501","HuaweiTe_54:25:d9","Broadcast","ARP","60","Who has 10.86.11.13? Tell 10.86.3.213"
"174","6.008506","13.107.42.12","10.86.11.73","TLSv1.2","1122","Application Data"
"175","6.014450","10.86.11.73","13.107.42.12","TLSv1.2","1223","Application Data"
"176","6.028510","13.107.42.12","10.86.11.73","TCP","60","443  >  60232 [ACK] Seq=2093 Ack=3508 Win=16380 Len=0"
"177","6.052132","10.86.11.73","13.107.42.12","TCP","54","60196  >  443 [ACK] Seq=3721 Ack=3224 Win=513 Len=0"
"178","6.160723","10.86.11.73","142.250.66.14","UDP","75","55822  >  443 Len=33"
"179","6.178961","142.250.66.14","10.86.11.73","UDP","68","443  >  55822 Len=26"
"180","6.305558","HewlettP_18:db:6a","Broadcast","ARP","60","Who has 10.86.4.110? Tell 10.86.0.1"
"181","6.305558","HewlettP_18:db:6a","Broadcast","ARP","60","Who has 10.86.11.61? Tell 10.86.0.1"
"182","6.305558","4a:ac:bd:67:7d:e6","Broadcast","ARP","60","Who has 172.27.0.1? Tell 172.27.8.229"
"183","6.333203","10.86.11.73","10.86.15.255","NBNS","92","Name query NB LAPTOP-54PG1OGH<1c>"
"184","6.354007","13.107.42.12","10.86.11.73","TLSv1.2","1129","Application Data"
"185","6.385631","10.86.11.73","142.250.66.14","UDP","75","55822  >  443 Len=33"
"186","6.395403","10.86.11.73","13.107.42.12","TCP","54","60232  >  443 [ACK] Seq=3508 Ack=3168 Win=517 Len=0"
"187","6.401797","142.250.66.14","10.86.11.73","UDP","68","443  >  55822 Len=26"
"188","6.613292","10.86.11.73","142.250.66.14","UDP","75","55822  >  443 Len=33"
"189","6.613481","10.86.10.209","10.86.11.73","TCP","66","1572  >  139 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=4 SACK_PERM=1"
"190","6.632062","142.250.66.14","10.86.11.73","UDP","68","443  >  55822 Len=26"
"191","6.838279","10.86.11.73","142.250.66.14","UDP","75","55822  >  443 Len=33"
"192","6.856393","142.250.66.14","10.86.11.73","UDP","68","443  >  55822 Len=26"
"193","6.920035","Fortinet_76:16:60","Broadcast","ARP","60","Who has 10.86.6.55? (ARP Probe)"
"194","6.923284","22:29:67:b7:2e:69","Broadcast","ARP","60","Who has 10.86.11.13? Tell 10.86.5.252"
"195","6.923284","HewlettP_18:db:6a","Broadcast","ARP","60","Who has 10.86.10.165? Tell 10.86.0.1"
"196","6.923284","HewlettP_18:db:6a","Broadcast","ARP","60","Who has 10.86.10.166? Tell 10.86.0.1"
"197","6.923284","HewlettP_18:db:6a","Broadcast","ARP","60","Who has 10.86.10.182? Tell 10.86.0.1"
"198","6.923284","HewlettP_18:db:6a","Broadcast","ARP","60","Who has 10.86.10.160? Tell 10.86.0.1"
"199","6.923284","HewlettP_18:db:6a","Broadcast","ARP","60","Who has 10.86.10.170? Tell 10.86.0.1"
"200","6.923284","HewlettP_18:db:6a","Broadcast","ARP","60","Who has 10.86.10.180? Tell 10.86.0.1"
"201","6.923284","HewlettP_18:db:6a","Broadcast","ARP","60","Who has 10.86.10.164? Tell 10.86.0.1"
"202","6.923284","HewlettP_18:db:6a","Broadcast","ARP","60","Who has 10.86.4.57? Tell 10.86.0.1"
"203","6.923284","HewlettP_18:db:6a","Broadcast","ARP","60","Who has 10.86.4.44? Tell 10.86.0.1"
"204","6.923284","HewlettP_18:db:6a","Broadcast","ARP","60","Who has 10.86.4.61? Tell 10.86.0.1"
"205","6.923600","HewlettP_18:db:6a","Broadcast","ARP","60","Who has 10.86.4.58? Tell 10.86.0.1"
"206","6.940296","10.86.11.73","52.182.141.63","TLSv1.2","513","Application Data"
"207","6.940515","10.86.11.73","52.182.141.63","TCP","1494","60125  >  443 [ACK] Seq=460 Ack=1 Win=1024 Len=1440 [TCP segment of a reassembled PDU]"
"208","6.940515","10.86.11.73","52.182.141.63","TCP","1494","60125  >  443 [ACK] Seq=1900 Ack=1 Win=1024 Len=1440 [TCP segment of a reassembled PDU]"
"209","6.940515","10.86.11.73","52.182.141.63","TCP","1494","60125  >  443 [ACK] Seq=3340 Ack=1 Win=1024 Len=1440 [TCP segment of a reassembled PDU]"
"210","6.940515","10.86.11.73","52.182.141.63","TCP","1494","60125  >  443 [ACK] Seq=4780 Ack=1 Win=1024 Len=1440 [TCP segment of a reassembled PDU]"
"211","6.940515","10.86.11.73","52.182.141.63","TCP","1494","60125  >  443 [ACK] Seq=6220 Ack=1 Win=1024 Len=1440 [TCP segment of a reassembled PDU]"
"212","6.940515","10.86.11.73","52.182.141.63","TCP","1494","60125  >  443 [ACK] Seq=7660 Ack=1 Win=1024 Len=1440 [TCP segment of a reassembled PDU]"
"213","6.940515","10.86.11.73","52.182.141.63","TCP","1494","60125  >  443 [ACK] Seq=9100 Ack=1 Win=1024 Len=1440 [TCP segment of a reassembled PDU]"
"214","6.940515","10.86.11.73","52.182.141.63","TCP","1494","60125  >  443 [ACK] Seq=10540 Ack=1 Win=1024 Len=1440 [TCP segment of a reassembled PDU]"
"215","6.940515","10.86.11.73","52.182.141.63","TCP","1494","60125  >  443 [ACK] Seq=11980 Ack=1 Win=1024 Len=1440 [TCP segment of a reassembled PDU]"
"216","6.940515","10.86.11.73","52.182.141.63","TLSv1.2","250","Application Data"
"217","7.024135","HewlettP_18:db:6a","Broadcast","ARP","60","Who has 10.86.4.62? Tell 10.86.0.1"
"218","7.024135","HewlettP_18:db:6a","Broadcast","ARP","60","Who has 10.86.4.51? Tell 10.86.0.1"
"219","7.024135","HewlettP_18:db:6a","Broadcast","ARP","60","Who has 10.86.10.186? Tell 10.86.0.1"
"220","7.024135","HewlettP_18:db:6a","Broadcast","ARP","60","Who has 10.86.4.64? Tell 10.86.0.1"
"221","7.024135","HewlettP_18:db:6a","Broadcast","ARP","60","Who has 10.86.4.38? Tell 10.86.0.1"
"222","7.024135","HewlettP_18:db:6a","Broadcast","ARP","60","Who has 10.86.4.48? Tell 10.86.0.1"
"223","7.024135","HewlettP_18:db:6a","Broadcast","ARP","60","Who has 10.86.4.89? Tell 10.86.0.1"
"224","7.024135","HewlettP_18:db:6a","Broadcast","ARP","60","Who has 10.86.4.47? Tell 10.86.0.1"
"225","7.024135","HewlettP_18:db:6a","Broadcast","ARP","60","Who has 10.86.4.46? Tell 10.86.0.1"
"226","7.024135","HewlettP_18:db:6a","Broadcast","ARP","60","Who has 10.86.4.50? Tell 10.86.0.1"
"227","7.024135","HewlettP_18:db:6a","Broadcast","ARP","60","Who has 10.86.4.52? Tell 10.86.0.1"
"228","7.034300","HewlettP_18:db:6a","Broadcast","ARP","60","Who has 10.86.4.63? Tell 10.86.0.1"
"229","7.034300","HewlettP_18:db:6a","Broadcast","ARP","60","Who has 10.86.4.65? Tell 10.86.0.1"
"230","7.034300","HewlettP_18:db:6a","Broadcast","ARP","60","Who has 10.86.4.49? Tell 10.86.0.1"
"231","7.034300","HewlettP_18:db:6a","Broadcast","ARP","60","Who has 10.86.4.42? Tell 10.86.0.1"
"232","7.034300","HewlettP_18:db:6a","Broadcast","ARP","60","Who has 10.86.4.43? Tell 10.86.0.1"
"233","7.034300","HewlettP_18:db:6a","Broadcast","ARP","60","Who has 10.86.10.114? Tell 10.86.0.1"
"234","7.034300","HewlettP_18:db:6a","Broadcast","ARP","60","Who has 10.86.3.212? Tell 10.86.0.1"
"235","7.034300","HewlettP_18:db:6a","Broadcast","ARP","60","Who has 10.86.9.95? Tell 10.86.0.1"
"236","7.034300","HewlettP_18:db:6a","Broadcast","ARP","60","Who has 10.86.11.170? Tell 10.86.0.1"
"237","7.034300","HewlettP_18:db:6a","Broadcast","ARP","60","Who has 10.86.9.251? Tell 10.86.0.1"
"238","7.034300","HewlettP_18:db:6a","Broadcast","ARP","60","Who has 10.86.14.85? Tell 10.86.0.1"
